Probando con: LR = 0.20 | Gamma: 0.75 | Epsilon: 0.20
Promedio obtenido: 22.2463 [LR: 0.20 | Gamma: 0.75 | Epsilon: 0.20]
Probando con: LR = 0.20 | Gamma: 0.80 | Epsilon: 0.05
Promedio obtenido: 22.8592 [LR: 0.20 | Gamma: 0.80 | Epsilon: 0.05]
Probando con: LR = 0.20 | Gamma: 0.80 | Epsilon: 0.10
Promedio obtenido: 23.0774 [LR: 0.20 | Gamma: 0.80 | Epsilon: 0.10]
Probando con: LR = 0.20 | Gamma: 0.80 | Epsilon: 0.20
Promedio obtenido: 22.3139 [LR: 0.20 | Gamma: 0.80 | Epsilon: 0.20]
Probando con: LR = 0.20 | Gamma: 0.85 | Epsilon: 0.05
Promedio obtenido: 21.9053 [LR: 0.20 | Gamma: 0.85 | Epsilon: 0.05]
Probando con: LR = 0.20 | Gamma: 0.85 | Epsilon: 0.10
Promedio obtenido: 23.0849 [LR: 0.20 | Gamma: 0.85 | Epsilon: 0.10]
Probando con: LR = 0.20 | Gamma: 0.85 | Epsilon: 0.20
Promedio obtenido: 22.6361 [LR: 0.20 | Gamma: 0.85 | Epsilon: 0.20]
Mejores hiperparametros obtenidos: LR: 0.05 | Gamma: 0.75 | Epsilon: 0.2
Mejor promedio obtenido: 21.605
